id,code,name,street,zipcode,city
84161018037076345,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037076417,70064A01,Handelshof Kanne,Cash&Carry Betrieb,32756,Detmold
84161018037076489,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037076705,70954A01,Fricke Imbiss & Gastr. Serv.,Daimlerstrasse 7         RFS,45770,Marl-Sinsen
84161018037076754,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037076869,72033A01,Huesken GmbH & Co. KG    MAR,Thueringer Strasse 10-14,46286,Dorsten
84161018037077059,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037077142,72082,Joop Eskes GmbH         MAR,Schlavenhorst 80,46395,Bocholt
84161018037077353,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037077474,72179A01,Transgourmet DE GmbH&Co.OHG,Albert-Einstein-Straße 2,64560,Riedstadt
84161018037077505,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037236459,59013,Deliva N.V.,"Slingerweg, 4",3600,Genk
84161018037236569,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037236243,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037236922,51016A03,Food and Drink,"Hasseltsesteenweg, 70 bus2",3800,Sint Truiden
84161018037237016,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037226055,84832,Lekkerkerker Food,Handelsweg 2,3411 NZ,Lopik
84161018037271011,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037271109,KDTROT,Lineage Rotterdam Maasvlakte,Tsugarustraat 5,3199 LS,Rotterdam
84161018037271174,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037271387,KDTROT,Lineage Rotterdam Maasvlakte,Tsugarustraat 5,3199 LS,Rotterdam
84161018037570376,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037286544,20118A05,Stef BCN (Stock Gastrofresc),Polígon Cim Vallès,08130,S.Perpètua de Mogoda
84161018037286658,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037286872,50172A01,Bidfood BV (Drachten),De Kletten 6,9206 BA,Drachten
84161018037286913,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037287084,50009A01,Bidfood (Groningen),Osloweg 11-17,9723 BG,Groningen
84161018037287197,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037287574,10044A53,Sligro BS Breda,Kapittelweg 10,4827 HG,Breda
84161018037287699,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037288396,50120,Hanos VERS DC,Tweelingenlaan 80,7324 DN,Apeldoorn
84161018037288575,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037288661,51052,King Food B.V.,Ingenieur Schiffstraat 1,7547 RE,Enschede
84161018037288768,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037288953,50225,Zegro,Schuttevaerweg 22,3044 BB,Rotterdam
84161018037289079,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037289465,10044A54,Sligro BS Vianen,Dijkleger 2,4131 MA,Vianen
84161018037289533,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037289705,50211A01,Marschee B.V.,Duizeldonksestraat 26,5705 CA,Helmond
84161018037289745,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037313845,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037315232,20085A08,Camaras Frigorificas SA,Mercadofrio,,Barcelona
84161018037315607,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037314251,51128,Smeding groenten en fruit,De opfaart 1,9076 PG,St-Annaparochie
84161018037314350,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037313718,11310A02,"Pregis, S.p.A. Fil. di Udine","Via Remis, 33",33050,San Vito al Torre
84161018037315406,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037315555,20140A02,Cefrusa,Pol.Ind.Mas del Pi,08781,Barcelona
84161018037316820,70516A01,Taeuber Fr.GmbH&Co KG   RFS,Rudolf-Diesel-Strasse 4,91413,Neustadt a.d. Aisch
84161018037316927,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037322905,36637,ATS Cash Sarl,"250, avenue des Narcisses",83310,Cogolin
84161018037323026,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037323163,35681,Le Rocher du Lion SARL(frais,"5, Le Pont Neuf",44320,Saint-Pere-en-Retz
84161018037323265,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037323496,35405,Pomona PF Tours,ZA n°1 Du Papillon,37210,Parcay Meslay
84161018037323608,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037324170,51076,Yildirim B.V.B.A.,"Koninginnelaan, 123A",3630,Maasmechelen
84161018037322874,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036845639,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037066776,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037073287,72124,TIFA*105350*Fripa GmbH,Neuwiesenfeld 10,64625,Bensheim
84161018037073487,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037073628,72083A01,TIFA *170152*Berchtesgadener,Am Gänslehen 4,83451,Piding
84161018037073742,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037075609,72124,TIFA*105350*Fripa GmbH,Neuwiesenfeld 10,64625,Bensheim
84161018037075775,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037077720,72179A01,Transgourmet DE GmbH&Co.OHG,Albert-Einstein-Straße 2,64560,Riedstadt
84161018037077828,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037078008,72246A01,Selgros C&C Hilden,Oststrasse 17          RFS,40724,Hilden
84161018037078069,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037078207,70941A02,Puetz Frischdienst& Lebens-,Hufer Hof,52146,Wuerselen
84161018037078364,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037078515,72175A01,Transgourmet DE GmbH&Co.OHG,Saalburgstraße 4,12099,Berlin
84161018037078574,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037078692,70941A02,Puetz Frischdienst& Lebens-,Hufer Hof,52146,Wuerselen
84161018037078876,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037078951,72174A01,Transgourmet DE GmbH&Co.OHG,Albert-Einstein-Straße 11,31135,Hildesheim
84161018037079066,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037079193,72185A01,Transgourmet VZ Köln,Ernst-Abbe-Str. 3,50769,Köln
84161018037079386,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037079511,70149A01,Servicebund Heinsberg,Wassenberger Strasse 112-114,52525,Heinsberg-Unterbruch
84161018037079656,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037079754,70410A01,Hambrock Grosshandel GmbH,Im Südfeld 7,48308,Senden Boesensell
84161018037079821,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037080009,70498A01,Kirschnik-Kulinaria      MAR,Dessauerstrasse 16,06188,Landsberg OT Oppin
84161018037080144,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037080254,72224A01,Selgros C&C Mannheim,Fahrlachstrasse 11-25   RFS,68165,Mannheim
84161018037080437,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037080452,70848,Henning Broscheit GmbH,Alexanderstrasse 55,45472,Muehlheim/Ruhr
84161018037080671,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037080811,70463A01,Schmitt Valentin,Alexander-Bell-Strasse 11,53332,Bornheim
84161018037080845,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037081079,70580,Igro-Schmidt GmbH&Co.KG  MAR,Stellmacherstrasse 19,26506,Norden
84161018037081133,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037081281,72222A01,Transgourmet DE GmbH&Co.OHG,"An der Priessnitzaue, 7 RFS",01328,Dresden
84161018037081375,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037081545,70035A01,Gustav Schumacher GmbH,Rudolf-Diesel-Strasse 46,56220,Urmitz
84161018037081665,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037081818,70035A01,Gustav Schumacher GmbH,Rudolf-Diesel-Strasse 46,56220,Urmitz
84161018037081898,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037082093,70709,Niggemann,Food Frischemarkt GmbH,44809,Bochum
84161018037082223,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037082333,72281A01,Selgros Falkensee (B),Strasse der Einheit 122-128,14612,Falkensee
84161018037082433,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037082599,72228A01,Selgros C&C Eschborn,Praunheimer Strasse 5-11 RFS,65760,Eschborn
84161018037082709,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037082756,70153A04,Hogrimex Food-Handels GmbH,Gelderner Straße 57,47647,Kerken-Nieukerk
84161018037082905,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037083034,72065A01,Knödel Connection GmbH,Großmarkthalle München,81371,München
84161018037083152,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037083322,70287A02,Foelster GmbH            RFS,Schmalenbrook 8,24647,Wasbek
84161018037083502,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037083620,70287A02,Foelster GmbH            RFS,Schmalenbrook 8,24647,Wasbek
84161018037083734,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037083841,72157A01,Graeffs Frischdienst,Gewerbegebiet Salzheck 1,56332,Dieblich
84161018037084006,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037084042,70820A01,Prima-Food Service GmbH,Eugen-Gerstenmaier-Strasse10,32339,Espelkamp
84161018037084190,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037084359,72157A01,Graeffs Frischdienst,Gewerbegebiet Salzheck 1,56332,Dieblich
84161018037084420,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
